Total Rules: 127667

P0=1     	P1=1     	P2=63484 	P3=64179 	P4=1     	
P5=1     	P6=0     	P7=0     	P8=0     	P9=0     	
P10=0     	P11=0     	P12=0     	P13=0     	P14=0     	
protocalVar= 30090

srcMask=0: 97188
 1:    0	 2:    0	 3:    0	 4:    0	 5:    0	 6:    0	 7:    0	 8:    0	
 9:    0	10:    0	11:    0	12:    0	13:    0	14:    0	15:    0	16:    0	
17:    0	18:    0	19:    0	20:    0	21:    0	22:    0	23:    0	24: 4743	
25:    0	26:    0	27:    0	28:    0	29:    0	30:    0	31:    0	32: 25736	

dstMask=0: 97714
 1:    0	 2:    0	 3:    0	 4:    0	 5:    0	 6:    0	 7:    0	 8:    0	
 9:    0	10:    0	11:    0	12:    0	13:    0	14:    0	15:    0	16:    0	
17:    0	18:    0	19:    0	20:    0	21:    0	22:    0	23:    0	24: 8498	
25:    0	26:    0	27:    0	28:    0	29:    0	30:    0	31:    0	32: 21455	

No.	src1	src2	src3	src4	dst1	dst2	dst3	dst4	srcPort	dstPort	sPWidth	dPWidth
70	   0	   0	  17	 112	   0	   0	  32	  80	 184	 251	   0	 430
71	   0	   0	  16	 112	   0	   0	  23	  86	 238	 270	   0	 426
72	   0	   0	  16	 116	   0	   0	  27	  75	 201	 227	   0	 405
73	   0	   0	  15	  98	   0	   0	  34	 103	 193	 221	   0	 419
74	   0	   0	  18	 100	   0	   0	  36	  85	 190	 252	   0	 389
75	   0	   0	  20	 103	   0	   0	  34	  89	 208	 262	   0	 435
76	   0	   0	  13	  85	   0	   0	  35	  96	 197	 259	   0	 370
77	   0	   0	  18	 113	   0	   0	  31	  75	 201	 251	   0	 359
78	   0	   0	  20	  81	   0	   0	  29	  90	 205	 222	   0	 351
79	   0	   0	  17	  98	   0	   0	  34	  73	 191	 221	   0	 366
80	   0	   0	  21	  88	   0	   0	  33	  94	 191	 251	   0	 355
81	   0	   0	  23	 102	   0	   0	  26	  87	 207	 236	   0	 366
82	   0	   0	  18	 105	   0	   0	  40	  88	 203	 268	   0	 333
83	   0	   0	  14	  95	   0	   0	  33	  76	 200	 274	   0	 367
84	   0	   0	  13	 108	   0	   0	  36	  82	 214	 257	   0	 336
85	   0	   0	  19	 102	   0	   0	  25	  86	 201	 241	   0	 288
86	   0	   0	  19	 115	   0	   0	  30	  76	 220	 258	   0	 309
87	   0	   0	  18	 111	   0	   0	  41	  74	 181	 260	   0	 297
88	   0	   0	  15	 112	   0	   0	  28	  92	 191	 230	   0	 316
89	   0	   0	  21	  89	   0	   0	  26	  75	 185	 257	   0	 269
90	   0	   0	  18	  95	   0	   0	  34	  84	 196	 240	   0	 303
91	   0	   0	  15	  84	   0	   0	  40	  94	 191	 245	   0	 267
92	   0	   0	  13	  79	   0	   0	  34	  85	 188	 259	   0	 254
93	   0	   0	  27	 104	   0	   0	  34	  82	 186	 251	   0	 284
94	   0	   0	  18	  98	   0	   0	  23	  81	 180	 234	   0	 225
95	   0	   0	  21	 102	   0	   0	  29	  89	 210	 265	   0	 279
96	   0	   0	  18	 109	   0	   0	  40	  88	 182	 261	   0	 226
97	   0	   0	  23	 117	   0	   0	  46	  94	 192	 262	   0	 222
98	   0	   0	  18	  96	   0	   0	  31	  83	 186	 234	   0	 232
99	   0	   0	  20	  95	   0	   0	  36	  66	 234	 254	   0	 205
100	   0	   0	  20	  84	   0	   0	  27	  91	 196	 251	   0	 222
101	   0	   0	  20	  98	   0	   0	  41	  78	 223	 240	   0	 194
102	   0	   0	  28	 104	   0	   0	  27	  85	 198	 235	   0	 164
103	   0	   0	  18	  90	   0	   0	  30	  99	 202	 236	   0	 191
104	   0	   0	  21	  88	   0	   0	  27	  81	 221	 258	   0	 182
105	   0	   0	  20	 110	   0	   0	  31	  72	 230	 255	   0	 184
106	   0	   0	  14	  96	   0	   0	  38	  91	 181	 252	   0	 162
107	   0	   0	  11	  85	   0	   0	  28	  85	 216	 266	   0	 145
108	   0	   0	  19	  95	   0	   0	  45	  93	 197	 282	   0	 134
109	   0	   0	  19	 103	   0	   0	  25	  86	 204	 244	   0	 130
110	   0	   0	  19	 116	   0	   0	  36	  80	 190	 251	   0	 153
111	   0	   0	  17	  96	   0	   0	  33	  74	 205	 250	   0	 106
112	   0	   0	  16	  98	   0	   0	  44	  86	 180	 255	   0	 114
113	   0	   0	  20	  91	   0	   0	  31	  71	 178	 246	   0	 109
114	   0	   0	  22	  86	   0	   0	  36	  75	 204	 248	   0	 107
115	   0	   0	  25	 103	   0	   0	  41	  79	 189	 271	   0	  84
116	   0	   0	  14	 102	   0	   0	  35	  75	 205	 255	   0	  97
117	   0	   0	  18	 119	   0	   0	  49	  86	 219	 257	   0	  73
118	   0	   0	  15	  89	   0	   0	  28	  77	 188	 248	   0	  74
119	   0	   0	  17	  94	   0	   0	  37	  96	 201	 212	   0	  61
120	   0	   0	  14	  99	   0	   0	  37	  88	 212	 245	   0	  42
121	   0	   0	  20	 103	   0	   0	  30	  97	 214	 246	   0	  50
122	   0	   0	  22	 104	   0	   0	  35	  77	 216	 252	   0	  38
123	   0	   0	  18	  83	   0	   0	  24	  77	 193	 247	   0	  32
124	   0	   0	  25	  93	   0	   0	  29	  76	 211	 238	   0	  25
125	   0	   0	  19	  91	   0	   0	  36	  79	 195	 245	   0	  14
126	   0	   0	  20	 112	   0	   0	  37	  83	 194	 247	   0	   4
127	   0	   0	  25	 103	   0	   0	  41	  84	 212	 249	   0	   2
128	   0	   0	  22	 111	   0	   0	  38	  96	 226	 242	   0	   0
129	   0	   0	  17	  90	   0	   0	  37	  95	 183	 244	   0	   0
130	   0	   0	  24	 104	   0	   0	  34	  72	 195	 235	   0	   0
131	   0	   0	  18	  92	   0	   0	  32	  77	 229	 227	   0	   0
132	   0	   0	  14	 116	   0	   0	  42	  84	 241	 237	   0	   0
133	   0	   0	  17	 113	   0	   0	  30	  79	 219	 222	   0	   0
134	   0	   0	  13	 112	   0	   0	  37	  92	 220	 242	   0	   0
135	   0	   0	  18	 105	   0	   0	  33	  88	 246	 272	   0	   0
136	   0	   0	  19	 103	   0	   0	  29	  83	 178	 247	   0	   0
137	   0	   0	  22	  98	   0	   0	  32	  77	 197	 251	   0	   0
138	   0	   0	  24	 100	   0	   0	  34	  82	 197	 231	   0	   0
139	   0	   0	  17	 104	   0	   0	  30	  91	 191	 257	   0	   0
140	   0	   0	  20	  97	   0	   0	  41	  87	 175	 253	   0	   0
141	   0	   0	  19	  85	   0	   0	  35	  98	 206	 259	   0	   0
142	   0	   0	  19	 114	   0	   0	  30	  97	 203	 252	   0	   0
143	   0	   0	  14	 106	   0	   0	  44	  79	 192	 236	   0	   0
144	   0	   0	  16	  91	   0	   0	  37	  85	 213	 222	   0	   0
145	   0	   0	  17	  96	   0	   0	  23	  83	 221	 237	   0	   0
146	   0	   0	  18	 119	   0	   0	  33	  82	 201	 223	   0	   0
147	   0	   0	  15	 101	   0	   0	  26	  82	 199	 248	   0	   0
148	   0	   0	  18	 110	   0	   0	  36	  86	 219	 234	   0	   0
149	   0	   0	  15	  94	   0	   0	  29	  72	 211	 247	   0	   0
150	   0	   0	  19	  97	   0	   0	  27	  69	 202	 231	   0	   0
151	   0	   0	  21	  87	   0	   0	  22	  85	 218	 241	   0	   0
152	   0	   0	  22	  95	   0	   0	  33	  78	 191	 247	   0	   0
153	   0	   0	  22	 105	   0	   0	  27	  73	 209	 260	   0	   0
154	   0	   0	  25	 113	   0	   0	  30	  75	 213	 239	   0	   0
155	   0	   0	   7	  99	   0	   0	  31	  76	 192	 253	   0	   0
156	   0	   0	  29	 119	   0	   0	  29	  80	 208	 204	   0	   0
157	   0	   0	  21	 104	   0	   0	  35	  84	 208	 243	   0	   0
158	   0	   0	  17	 114	   0	   0	  37	  71	 174	 254	   0	   0
159	   0	   0	  23	 111	   0	   0	  39	  92	 211	 252	   0	   0
160	   0	   0	  18	 119	   0	   0	  37	 105	 205	 261	   0	   0
161	   0	   0	  18	  87	   0	   0	  35	 108	 203	 246	   0	   0
162	   0	   0	  18	  97	   0	   0	  42	  90	 213	 237	   0	   0
163	   0	   0	  20	 106	   0	   0	  42	  67	 208	 246	   0	   0
164	   0	   0	  15	  94	   0	   0	  39	  83	 195	 241	   0	   0
165	   0	   0	  13	 121	   0	   0	  27	  92	 219	 230	   0	   0
166	   0	   0	  13	  94	   0	   0	  30	  74	 213	 231	   0	   0
167	   0	   0	  16	  85	   0	   0	  23	  84	 203	 248	   0	   0
168	   0	   0	  17	  93	   0	   0	  36	  77	 194	 257	   0	   0
169	   0	   0	  19	  98	   0	   0	  41	  77	 212	 238	   0	   0
170	   0	   0	  19	  86	   0	   0	  35	  87	 200	 230	   0	   0
171	   0	   0	  11	 116	   0	   0	  35	  84	 212	 238	   0	   0
172	17032	   0	  17	 100	12921	   0	  26	  83	 208	 251	   0	   0
173	   0	   0	  15	 105	   0	   0	  34	  81	 197	 219	   0	   0
174	   0	   0	  17	 102	   0	   0	  32	  76	 196	 220	   0	   0
175	   0	   0	  23	 106	   0	   0	  41	  78	 190	 229	   0	   0
176	   0	   0	  20	 100	   0	   0	  35	  77	 204	 224	   0	   0
177	   0	   0	  18	  89	   0	   0	  32	  73	 195	 233	   0	   0
178	   0	   0	  15	  95	   0	   0	  34	  66	 210	 253	   0	   0
179	   0	   0	  16	  92	   0	   0	  23	  78	 221	 237	   0	   0
180	   0	   0	  22	  98	   0	   0	  31	  88	 188	 246	   0	   0
181	   0	   0	  17	 102	   0	   0	  34	  81	 209	 226	   0	   0
182	   0	   0	  20	 104	   0	   0	  43	  78	 192	 222	   0	   0
183	   0	   0	  17	 111	   0	   0	  24	  93	 180	 228	   0	   0
184	   0	   0	  26	 108	   0	   0	  30	  82	 200	 234	   0	   0
185	   0	   0	  24	  96	   0	   0	  37	  79	 200	 274	   0	   0
186	   0	   0	  11	 107	   0	   0	  34	  92	 203	 258	   0	   0
187	   0	   0	  19	 128	   0	   0	  36	  81	 202	 249	   0	   0
188	   0	   0	  25	  90	   0	   0	  41	  68	 198	 268	   0	   0
